institution,country,subject,subject_rank,world_rank,overall_score,academic_score,employer_score,faculty_score,citations_score
Design Academy Eindhoven,Netherlands,Art & Design,10,,,,,,
Delft University of Technology,Netherlands,Art & Design,11,61.0,70.0,71.6,80.2,34.5,84.4
Glasgow School of Art (GSA),United Kingdom,Art & Design,12,,,,,,
Savannah College of Art and Design,United States,Art & Design,13,,,,,,
Art Center College of Design,United States,Art & Design,14,,,,,,
Tsinghua University,China (Mainland),Art & Design,14,14.0,90.1,98.9,97.7,92.8,98.1
Yale University,United States,Art & Design,16,18.0,89.0,99.9,100.0,100.0,51.5
Stanford University,United States,Art & Design,17,3.0,98.5,100.0,100.0,100.0,99.9
Tongji University,China (Mainland),Art & Design,18,212.0,42.4,33.2,10.0,26.6,87.5
"Nanyang Technological University, Singapore (NTU)",Singapore,Art & Design,19,19.0,88.4,90.4,76.1,83.2,94.1
Carnegie Mellon University,United States,Art & Design,20,52.0,74.6,72.1,69.0,58.6,100.0
China Central Academy of Fine Arts,China (Mainland),Art & Design,21,,,,,,
New York University (NYU),United States,Art & Design,22,39.0,80.3,95.9,99.0,98.1,28.9
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Art & Design,22,66.0,69.0,66.1,37.0,78.4,68.9
"University of California, Los Angeles (UCLA)",United States,Art & Design,24,44.0,78.7,100.0,99.9,37.7,85.9
School of Visual Arts (SVA),United States,Art & Design,25,,,,,,
RMIT University,Australia,Art & Design,26,190.0,44.6,36.6,55.5,6.7,66.0
University of Oxford,United Kingdom,Art & Design,27,4.0,98.4,100.0,100.0,100.0,90.0
KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,Art & Design,28,42.0,79.3,88.1,85.8,68.9,97.7
Peking University,China (Mainland),Art & Design,29,12.0,91.3,99.3,96.5,87.3,96.7
National University of Singapore (NUS),Singapore,Art & Design,30,11.0,92.7,99.5,94.1,79.8,91.8
The University of Tokyo,Japan,Art & Design,30,23.0,85.3,100.0,99.7,91.9,73.3
University of Cambridge,United Kingdom,Art & Design,32,2.0,98.8,100.0,100.0,100.0,92.3
California Institute of the Arts,United States,Art & Design,33,,,,,,
Seoul National University,Republic of Korea,Art & Design,34,29.0,82.2,98.6,97.8,87.0,70.3
The Royal Danish Academy of Fine Arts - The School of Design,Denmark,Art & Design,34,,,,,,
Emily Carr University of Art and Design,Canada,Art & Design,36,,,,,,
"Goldsmiths, University of London",United Kingdom,Art & Design,37,516.0,,16.2,7.5,18.3,17.4
King Abdulaziz University (KAU),Saudi Arabia,Art & Design,38,106.0,57.8,48.4,70.7,66.3,50.6
Loughborough University,United Kingdom,Art & Design,39,256.0,38.1,29.9,65.9,22.2,37.7
Tecnológico de Monterrey,Mexico,Art & Design,40,170.0,47.1,48.8,92.8,72.9,2.2
"Konstfack University College of Arts, Crafts and Design",Sweden,Art & Design,41,,,,,,
Universität der Knste Berlin,Germany,Art & Design,42,,,,,,
Universidad Nacional Autónoma de México (UNAM),Mexico,Art & Design,43,105.0,58.0,96.0,95.1,43.2,2.9
Hongik University,Republic of Korea,Art & Design,44,,,,,,
UCL,United Kingdom,Art & Design,44,8.0,95.0,99.4,98.6,97.6,77.0
Eindhoven University of Technology,Netherlands,Art & Design,46,138.0,52.7,28.9,72.8,50.5,78.2
Zurich University of the Arts (ZHdK),Switzerland,Art & Design,46,,,,,,
Columbia University,United States,Art & Design,48,22.0,86.7,99.7,98.1,100.0,47.2
Ecole Nationale Supérieure des Arts Décoratifs (ENSAD),France,Art & Design,49,,,,,,
Cornell University,United States,Art & Design,50,20.0,87.2,98.3,91.4,62.2,99.3
Harvard University,United States,Biological,1,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Biological,2,,,,,,
Stanford University,United States,Biological,3,3.0,98.5,100.0,100.0,100.0,99.9
University of Oxford,United Kingdom,Biological,4,4.0,98.4,100.0,100.0,100.0,90.0
University of Cambridge,United Kingdom,Biological,5,2.0,98.8,100.0,100.0,100.0,92.3
Yale University,United States,Biological,6,18.0,89.0,99.9,100.0,100.0,51.5
Johns Hopkins University,United States,Biological,7,24.0,85.1,87.9,47.2,100.0,87.3
"University of California, Berkeley (UCB)",United States,Biological,8,27.0,82.7,100.0,100.0,23.9,99.9
"University of California, San Francisco (UCSF)",United States,Biological,9,,,,,,
Imperial College London,United Kingdom,Biological,10,7.0,97.0,98.3,99.7,99.5,86.5
"University of California, San Diego (UCSD)",United States,Biological,11,53.0,74.5,90.0,61.6,55.6,77.0
"University of California, Los Angeles (UCLA)",United States,Biological,12,44.0,78.7,100.0,99.9,37.7,85.9
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Biological,13,9.0,93.6,98.6,91.3,74.2,99.2
Cornell University,United States,Biological,14,20.0,87.2,98.3,91.4,62.2,99.3
National University of Singapore (NUS),Singapore,Biological,15,11.0,92.7,99.5,94.1,79.8,91.8
UCL,United Kingdom,Biological,16,8.0,95.0,99.4,98.6,97.6,77.0
Columbia University,United States,Biological,17,22.0,86.7,99.7,98.1,100.0,47.2
California Institute of Technology (Caltech),United States,Biological,18,6.0,97.0,96.5,87.1,100.0,100.0
University of Pennsylvania,United States,Biological,19,13.0,90.6,96.5,92.5,99.9,70.9
Tsinghua University,China (Mainland),Biological,20,14.0,90.1,98.9,97.7,92.8,98.1
University of Chicago,United States,Biological,21,10.0,93.2,99.2,92.2,92.9,86.8
University of Toronto,Canada,Biological,22,35.0,81.5,99.6,98.3,65.6,43.5
The University of Edinburgh,United Kingdom,Biological,23,15.0,89.5,98.0,97.2,81.1,70.1
Princeton University,United States,Biological,24,17.0,89.2,99.9,98.9,72.6,100.0
Peking University,China (Mainland),Biological,25,12.0,91.3,99.3,96.5,87.3,96.7
Karolinska Institute,Sweden,Biological,26,,,,,,
The University of Tokyo,Japan,Biological,27,23.0,85.3,100.0,99.7,91.9,73.3
University of Washington,United States,Biological,28,80.0,64.7,84.8,48.6,10.8,100.0
University of Copenhagen,Denmark,Biological,29,82.0,64.1,72.8,36.6,100.0,26.0
"Nanyang Technological University, Singapore (NTU)",Singapore,Biological,30,19.0,88.4,90.4,76.1,83.2,94.1
King's College London,United Kingdom,Biological,31,37.0,81.2,88.8,83.2,74.5,60.5
Duke University,United States,Biological,32,50.0,74.8,86.1,79.8,100.0,41.2
Ruprecht-Karls-Universität Heidelberg,Germany,Biological,32,65.0,69.0,78.7,40.3,99.8,41.1
The University of Melbourne,Australia,Biological,34,33.0,81.6,98.6,94.9,17.9,95.0
EPFL,Switzerland,Biological,35,16.0,89.2,83.7,71.8,91.1,99.4
New York University (NYU),United States,Biological,35,39.0,80.3,95.9,99.0,98.1,28.9
University of Michigan-Ann Arbor,United States,Biological,37,25.0,84.4,98.5,91.3,88.9,62.5
Ludwig-Maximilians-Universität München,Germany,Biological,38,59.0,70.4,92.6,75.7,56.0,45.5
"University of California, Davis",United States,Biological,38,102.0,58.2,64.8,51.0,27.1,68.7
Washington University in St. Louis,United States,Biological,40,119.0,55.8,40.1,15.3,99.9,55.6
Wageningen University & Research,Netherlands,Biological,41,124.0,54.6,42.8,17.0,97.4,48.2
University of British Columbia,Canada,Biological,42,47.0,77.0,98.0,95.4,56.5,42.1
Seoul National University,Republic of Korea,Biological,43,29.0,82.2,98.6,97.8,87.0,70.3
McGill University,Canada,Biological,44,31.0,81.9,93.3,93.6,68.9,59.6
The University of Hong Kong,"Hong Kong SAR, China",Biological,44,21.0,87.0,97.4,62.9,84.2,72.6
Fudan University,China (Mainland),Biological,46,34.0,81.5,83.6,93.5,89.3,70.4
Sorbonne University,France,Biological,46,60.0,70.1,90.0,41.7,40.6,86.3
KU Leuven,Belgium,Biological,48,76.0,66.0,83.8,53.0,7.7,92.7
The University of Manchester,United Kingdom,Biological,49,28.0,82.3,95.1,97.7,63.1,59.0
Zhejiang University,China (Mainland),Biological,50,43.0,79.3,72.2,95.3,78.7,88.4
Harvard University,United States,Business,1,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Business,2,,,,,,
Stanford University,United States,Business,3,3.0,98.5,100.0,100.0,100.0,99.9
INSEAD (France),France,Business,4,,,,,,
University of Cambridge,United Kingdom,Business,5,2.0,98.8,100.0,100.0,100.0,92.3
University of Oxford,United Kingdom,Business,5,4.0,98.4,100.0,100.0,100.0,90.0
London Business School,United Kingdom,Business,7,,,,,,
National University of Singapore (NUS),Singapore,Business,8,11.0,92.7,99.5,94.1,79.8,91.8
University of Pennsylvania,United States,Business,9,13.0,90.6,96.5,92.5,99.9,70.9
Università Commerciale Luigi Bocconi (Bocconi University),Italy,Business,10,,,,,,
"University of California, Berkeley (UCB)",United States,Business,11,27.0,82.7,100.0,100.0,23.9,99.9
The London School of Economics and Political Science (LSE),United Kingdom,Business,12,56.0,72.3,69.0,98.3,37.8,84.6
HEC Paris,France,Business,13,,,,,,
"Nanyang Technological University, Singapore (NTU)",Singapore,Business,14,19.0,88.4,90.4,76.1,83.2,94.1
Copenhagen Business School,Denmark,Business,15,,,,,,
Yale University,United States,Business,16,18.0,89.0,99.9,100.0,100.0,51.5
New York University (NYU),United States,Business,17,39.0,80.3,95.9,99.0,98.1,28.9
Northwestern University,United States,Business,17,32.0,81.8,84.4,71.9,98.3,84.2
University of Chicago,United States,Business,17,10.0,93.2,99.2,92.2,92.9,86.8
Columbia University,United States,Business,20,22.0,86.7,99.7,98.1,100.0,47.2
Tecnológico de Monterrey,Mexico,Business,21,170.0,47.1,48.8,92.8,72.9,2.2
Erasmus University Rotterdam,Netherlands,Business,22,,,,,,
Tsinghua University,China (Mainland),Business,23,14.0,90.1,98.9,97.7,92.8,98.1
ESADE Business School | Universitat Ramon Llull,Spain,Business,24,,,,,,
Peking University,China (Mainland),Business,25,12.0,91.3,99.3,96.5,87.3,96.7
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Business,26,40.0,79.8,82.0,50.1,62.6,98.6
Indian Institute of Management (IIM) - Ahmedabad,India,Business,27,,,,,,
Shanghai Jiao Tong University,China (Mainland),Business,28,46.0,77.4,82.7,90.2,57.7,97.1
University of Michigan-Ann Arbor,United States,Business,29,25.0,84.4,98.5,91.3,88.9,62.5
The University of Hong Kong,"Hong Kong SAR, China",Business,30,21.0,87.0,97.4,62.9,84.2,72.6
"University of California, Los Angeles (UCLA)",United States,Business,31,44.0,78.7,100.0,99.9,37.7,85.9
IE University,Spain,Business,32,347.0,31.1,6.7,47.6,66.6,2.6
University of Toronto,Canada,Business,33,35.0,81.5,99.6,98.3,65.6,43.5
Yonsei University,Republic of Korea,Business,34,73.0,67.0,75.5,95.5,88.6,28.4
The University of New South Wales (UNSW Sydney),Australia,Business,35,45.0,78.0,89.0,91.1,16.8,97.6
The University of Warwick,United Kingdom,Business,35,64.0,69.1,71.8,89.3,43.1,63.1
Cornell University,United States,Business,37,20.0,87.2,98.3,91.4,62.2,99.3
Imperial College London,United Kingdom,Business,37,7.0,97.0,98.3,99.7,99.5,86.5
"ESSEC Business School, Paris",France,Business,39,,,,,,
Indian Institute of Management (IIM) - Bangalore,India,Business,40,,,,,,
Seoul National University,Republic of Korea,Business,40,29.0,82.2,98.6,97.8,87.0,70.3
IESE Business School | Universidad de Navarra,Spain,Business,42,,,,,,
Korea University,Republic of Korea,Business,42,74.0,66.9,79.3,93.9,86.1,29.5
Fudan University,China (Mainland),Business,44,34.0,81.5,83.6,93.5,89.3,70.4
The University of Manchester,United Kingdom,Business,45,28.0,82.3,95.1,97.7,63.1,59.0
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Business,46,38.0,80.6,87.3,49.6,60.9,92.9
The Hong Kong Polytechnic University,"Hong Kong SAR, China",Business,46,66.0,69.0,66.1,37.0,78.4,68.9
University of St.Gallen (HSG),Switzerland,Business,48,510.0,,8.8,38.6,6.7,29.3
University of British Columbia,Canada,Business,49,47.0,77.0,98.0,95.4,56.5,42.1
Duke University,United States,Business,50,50.0,74.8,86.1,79.8,100.0,41.2
Pontificia Universidad Católica de Chile (UC),Chile,Business,50,121.0,54.9,91.8,98.1,22.3,12.5
The University of Melbourne,Australia,Business,50,33.0,81.6,98.6,94.9,17.9,95.0
Harvard University,United States,Chemistry,1,5.0,97.6,100.0,100.0,99.4,100.0
Massachusetts Institute of Technology (MIT),United States,Chemistry,2,,,,,,
University of Cambridge,United Kingdom,Chemistry,3,2.0,98.8,100.0,100.0,100.0,92.3
Stanford University,United States,Chemistry,4,3.0,98.5,100.0,100.0,100.0,99.9
University of Oxford,United Kingdom,Chemistry,5,4.0,98.4,100.0,100.0,100.0,90.0
"University of California, Berkeley (UCB)",United States,Chemistry,6,27.0,82.7,100.0,100.0,23.9,99.9
National University of Singapore (NUS),Singapore,Chemistry,7,11.0,92.7,99.5,94.1,79.8,91.8
"Nanyang Technological University, Singapore (NTU)",Singapore,Chemistry,8,19.0,88.4,90.4,76.1,83.2,94.1
ETH Zurich - Swiss Federal Institute of Technology,Switzerland,Chemistry,9,9.0,93.6,98.6,91.3,74.2,99.2
EPFL,Switzerland,Chemistry,10,16.0,89.2,83.7,71.8,91.1,99.4
Imperial College London,United Kingdom,Chemistry,11,7.0,97.0,98.3,99.7,99.5,86.5
Peking University,China (Mainland),Chemistry,12,12.0,91.3,99.3,96.5,87.3,96.7
Tsinghua University,China (Mainland),Chemistry,13,14.0,90.1,98.9,97.7,92.8,98.1
California Institute of Technology (Caltech),United States,Chemistry,14,6.0,97.0,96.5,87.1,100.0,100.0
Northwestern University,United States,Chemistry,15,32.0,81.8,84.4,71.9,98.3,84.2
"University of California, Los Angeles (UCLA)",United States,Chemistry,15,44.0,78.7,100.0,99.9,37.7,85.9
The University of Tokyo,Japan,Chemistry,17,23.0,85.3,100.0,99.7,91.9,73.3
University of Toronto,Canada,Chemistry,17,35.0,81.5,99.6,98.3,65.6,43.5
Zhejiang University,China (Mainland),Chemistry,19,43.0,79.3,72.2,95.3,78.7,88.4
Seoul National University,Republic of Korea,Chemistry,20,29.0,82.2,98.6,97.8,87.0,70.3
Shanghai Jiao Tong University,China (Mainland),Chemistry,21,46.0,77.4,82.7,90.2,57.7,97.1
Technical University of Munich,Germany,Chemistry,22,49.0,76.4,84.0,96.8,96.4,25.8
The University of Manchester,United Kingdom,Chemistry,22,28.0,82.3,95.1,97.7,63.1,59.0
UCL,United Kingdom,Chemistry,24,8.0,95.0,99.4,98.6,97.6,77.0
Nanjing University,China (Mainland),Chemistry,25,133.0,53.9,57.7,17.7,32.3,96.1
Fudan University,China (Mainland),Chemistry,26,34.0,81.5,83.6,93.5,89.3,70.4
Cornell University,United States,Chemistry,27,20.0,87.2,98.3,91.4,62.2,99.3
KU Leuven,Belgium,Chemistry,27,76.0,66.0,83.8,53.0,7.7,92.7
University of Science and Technology of China,China (Mainland),Chemistry,29,94.0,60.7,51.6,12.4,86.6,99.9
KAIST - Korea Advanced Institute of Science & Technology,Republic of Korea,Chemistry,30,42.0,79.3,88.1,85.8,68.9,97.7
Yale University,United States,Chemistry,31,18.0,89.0,99.9,100.0,100.0,51.5
Université de Strasbourg,France,Chemistry,32,435.0,26.8,40.7,6.8,5.1,24.9
Kyoto University,Japan,Chemistry,33,36.0,81.4,98.6,98.9,94.8,54.2
University of Chicago,United States,Chemistry,34,10.0,93.2,99.2,92.2,92.9,86.8
Princeton University,United States,Chemistry,35,17.0,89.2,99.9,98.9,72.6,100.0
University of Pennsylvania,United States,Chemistry,36,13.0,90.6,96.5,92.5,99.9,70.9
Delft University of Technology,Netherlands,Chemistry,37,61.0,70.0,71.6,80.2,34.5,84.4
"University of California, San Diego (UCSD)",United States,Chemistry,37,53.0,74.5,90.0,61.6,55.6,77.0
University of Texas at Austin,United States,Chemistry,39,72.0,67.4,93.7,85.2,9.8,90.9
Columbia University,United States,Chemistry,40,22.0,86.7,99.7,98.1,100.0,47.2
Georgia Institute of Technology,United States,Chemistry,41,88.0,62.3,67.7,77.0,11.1,95.5
RUDN University,Russian Federation,Chemistry,42,296.0,35.5,19.7,33.9,92.7,1.8
University of Illinois at Urbana-Champaign,United States,Chemistry,43,85.0,63.6,85.6,60.9,9.5,88.7
The University of Hong Kong,"Hong Kong SAR, China",Chemistry,44,21.0,87.0,97.4,62.9,84.2,72.6
University of Chinese Academy of Sciences,China (Mainland),Chemistry,44,,,,,,
The University of Queensland,Australia,Chemistry,46,51.0,74.8,86.6,75.6,20.2,90.8
University of British Columbia,Canada,Chemistry,46,47.0,77.0,98.0,95.4,56.5,42.1
Pohang University of Science And Technology (POSTECH),Republic of Korea,Chemistry,48,71.0,67.7,47.4,69.4,100.0,98.0
The Hong Kong University of Science and Technology,"Hong Kong SAR, China",Chemistry,49,40.0,79.8,82.0,50.1,62.6,98.6
The University of New South Wales (UNSW Sydney),Australia,Chemistry,49,45.0,78.0,89.0,91.1,16.8,97.6
Sapienza University of Rome,Italy,Classics,1,171.0,46.8,78.0,36.6,4.5,50.2
Peking University,China (Mainland),Classics,2,12.0,91.3,99.3,96.5,87.3,96.7
University of St Andrews,United Kingdom,Classics,3,97.0,59.5,46.2,67.6,61.1,58.9
University of Oxford,United Kingdom,Classics,4,4.0,98.4,100.0,100.0,100.0,90.0
University of Cambridge,United Kingdom,Classics,5,2.0,98.8,100.0,100.0,100.0,92.3
Leiden University,Netherlands,Classics,6,132.0,54.1,68.1,23.4,22.2,65.8
Ruprecht-Karls-Universität Heidelberg,Germany,Classics,7,65.0,69.0,78.7,40.3,99.8,41.1
Scuola Normale Superiore di Pisa,Italy,Classics,8,,,,,,
Durham University,United Kingdom,Classics,9,92.0,60.9,57.9,89.2,31.0,65.7
Humboldt-Universität zu Berlin,Germany,Classics,10,131.0,54.1,90.1,55.6,8.7,29.5
Harvard University,United States,Classics,11,5.0,97.6,100.0,100.0,99.4,100.0
KU Leuven,Belgium,Classics,11,76.0,66.0,83.8,53.0,7.7,92.7
King's College London,United Kingdom,Classics,13,37.0,81.2,88.8,83.2,74.5,60.5
Ludwig-Maximilians-Universität München,Germany,Classics,14,59.0,70.4,92.6,75.7,56.0,45.5
Yale University,United States,Classics,15,18.0,89.0,99.9,100.0,100.0,51.5
Nanjing University,China (Mainland),Classics,16,133.0,53.9,57.7,17.7,32.3,96.1
UCL,United Kingdom,Classics,17,8.0,95.0,99.4,98.6,97.6,77.0
Princeton University,United States,Classics,18,17.0,89.2,99.9,98.9,72.6,100.0
National Taiwan University (NTU),Taiwan,Classics,19,77.0,65.7,92.3,92.6,33.4,49.7
"University of California, Berkeley (UCB)",United States,Classics,20,27.0,82.7,100.0,100.0,23.9,99.9
Kyoto University,Japan,Classics,21,36.0,81.4,98.6,98.9,94.8,54.2
Fudan University,China (Mainland),Classics,22,34.0,81.5,83.6,93.5,89.3,70.4
Université Paris 1 Panthéon-Sorbonne,France,Classics,22,,,,,,
Freie Universitaet Berlin,Germany,Classics,24,118.0,55.8,80.7,44.9,4.0,63.5
Alma Mater Studiorum - University of Bologna,Italy,Classics,25,167.0,47.5,78.5,43.1,3.5,49.7
University of Geneva,Switzerland,Classics,25,127.0,54.5,46.5,20.0,44.8,74.0
Université catholique de Louvain (UCLouvain),Belgium,Classics,27,196.0,44.2,49.7,43.0,5.4,61.7
The University of Edinburgh,United Kingdom,Classics,28,15.0,89.5,98.0,97.2,81.1,70.1
University of Pisa,Italy,Classics,29,404.0,28.2,40.6,14.7,7.0,41.7
Beijing Normal University,China (Mainland),Classics,30,,,,,,
National Chung Cheng University,Taiwan,Classics,31,869.0,,12.5,19.6,21.5,5.7
National Chengchi University,Taiwan,Classics,32,623.0,,18.4,39.2,24.9,2.7
The University of Sydney,Australia,Classics,33,41.0,79.6,96.2,91.7,15.6,92.1
Sorbonne University,France,Classics,34,60.0,70.1,90.0,41.7,40.6,86.3
University of Cologne,Germany,Classics,35,335.0,31.9,36.7,31.0,24.8,25.6
University of Vienna,Austria,Classics,36,151.0,50.6,69.4,55.3,24.2,14.1
Sungkyunkwan University (SKKU),Republic of Korea,Classics,37,,,,,,
Università Cattolica del Sacro Cuore,Italy,Classics,37,519.0,,22.4,31.6,47.6,6.7
Ca' Foscari University of Venice,Italy,Classics,39,,,,,,
The Chinese University of Hong Kong (CUHK),"Hong Kong SAR, China",Classics,40,38.0,80.6,87.3,49.6,60.9,92.9
